YEAR,STNAME,DEP,ID
1934,Alaska,0,CB_1934_AK
1934,Alabama,217000,CB_1934_AL
1934,Arkansas,122000,CB_1934_AR
1934,American Samoa,0,CB_1934_AS
1934,Arizona,49000,CB_1934_AZ
1934,California,3228000,CB_1934_CA
1934,Colorado,261000,CB_1934_CO
1934,Connecticut,441000,CB_1934_CT
1934,District Of Columbia,257000,CB_1934_DC
1934,Delaware,114000,CB_1934_DE
1934,Florida,228000,CB_1934_FL
1934,Federated States of Micronesia,0,CB_1934_FM
1934,Georgia,326000,CB_1934_GA
1934,Guam,0,CB_1934_GU
1934,Hawaii,0,CB_1934_HI
1934,Iowa,432000,CB_1934_IA
1934,Idaho,63000,CB_1934_ID
1934,Illinois,2933000,CB_1934_IL
1934,Indiana,555000,CB_1934_IN
1934,Kansas,295000,CB_1934_KS
1934,Kentucky,348000,CB_1934_KY
1934,Louisiana,320000,CB_1934_LA
1934,Massachusetts,1593000,CB_1934_MA
1934,Maryland,458000,CB_1934_MD
1934,Maine,170000,CB_1934_ME
1934,Michigan,903000,CB_1934_MI
1934,Minnesota,738000,CB_1934_MN
1934,Missouri,1136000,CB_1934_MO
1934,Mississippi,142000,CB_1934_MS
1934,Montana,111000,CB_1934_MT
1934,North Carolina,308000,CB_1934_NC
1934,North Dakota,67000,CB_1934_ND
1934,Nebraska,280000,CB_1934_NE
1934,New Hampshire,65000,CB_1934_NH
1934,New Jersey,1453000,CB_1934_NJ
1934,New Mexico,37000,CB_1934_NM
1934,Nevada,20000,CB_1934_NV
1934,New York,11695000,CB_1934_NY
1934,Ohio,1620000,CB_1934_OH
1934,Oklahoma,313000,CB_1934_OK
1934,Oregon,207000,CB_1934_OR
1934,Other Areas,0,CB_1934_OT
1934,Pennsylvania,3797000,CB_1934_PA
1934,Puerto Rico,0,CB_1934_PR
1934,Rhode Island,217000,CB_1934_RI
1934,South Carolina,106000,CB_1934_SC
1934,South Dakota,79000,CB_1934_SD
1934,Tennessee,366000,CB_1934_TN
1934,Texas,1020000,CB_1934_TX
1934,United States,38996000,CB_1934_US
1934,United States & Other Areas,39015142,CB_1934_USA
1934,Utah,120000,CB_1934_UT
1934,Virginia,443000,CB_1934_VA
1934,Virgin Islands Of The U.S.,0,CB_1934_VI
1934,Vermont,95000,CB_1934_VT
1934,Washington,328000,CB_1934_WA
1934,Wisconsin,645000,CB_1934_WI
1934,West Virginia,225000,CB_1934_WV
1934,Wyoming,50000,CB_1934_WY
1935,Alaska,0,CB_1935_AK
1935,Alabama,244000,CB_1935_AL
1935,Arkansas,144000,CB_1935_AR
1935,American Samoa,0,CB_1935_AS
1935,Arizona,64000,CB_1935_AZ
1935,California,3604000,CB_1935_CA
1935,Colorado,289000,CB_1935_CO
1935,Connecticut,441000,CB_1935_CT
1935,District Of Columbia,294000,CB_1935_DC
1935,Delaware,132000,CB_1935_DE
1935,Florida,268000,CB_1935_FL
